LaDainian Tomlinson,2653,14776
Edgerrin James,2514,13005
Fred Taylor,2051,12271
Steven Jackson,2190,12058
Adrian Peterson,1873,12044
Frank Gore,1995,11601
Thomas Jones,2255,11311
Jamal Lewis,2174,11230
Curtis Martin,2094,10957
Corey Dillon,1888,10839
Ricky Williams,2033,10798
Tiki Barber,1693,10753
Warrick Dunn,1945,10608
Clinton Portis,1935,10546
Shaun Alexander,1751,10261
Ahman Green,1730,9774
Chris Johnson,1481,9333
Marshawn Lynch,1684,9308
Willis McGahee,1718,9032
Marshall Faulk,1434,8822
Priest Holmes,1447,8612
Maurice Jones-Drew,1537,8585
Matt Forte,1468,8228
Eddie George,1716,8214
Jerome Bettis,1633,7894
Michael Turner,1322,7822
Stephen Davis,1492,7637
Emmitt Smith,1399,7503
Jamaal Charles,1072,7269
LeSean McCoy,1149,7261
DeAngelo Williams,1146,7174
Larry Johnson,1198,6783
Travis Henry,1250,6730
Brian Westbrook,1142,6691
Arian Foster,1144,6644
Cedric Benson,1310,6542
Ray Rice,1186,6524
Rudi Johnson,1259,6497
Antowain Smith,1299,6474
Deuce McAllister,1205,6413
Michael Vick,712,6394
Duce Staley,1165,6158
Michael Pittman,1132,6019
Ronnie Brown,1109,5929
Fred Jackson,1090,5898
Reggie Bush,1016,5880
Willie Parker,1023,5708
Brandon Jacobs,958,5430
Charlie Garner,921,5426
Julius Jones,1007,5420
Chester Taylor,937,5226
Jonathan Stewart,838,5123
Ahmad Bradshaw,858,5113
Marion Barber,944,5033
Garrison Hearst,819,4908
Joseph Addai,943,4785
DeMarco Murray,784,4783
Darren McFadden,821,4465
Rashard Mendenhall,866,4459
Anthony Thomas,881,4459
Cadillac Williams,883,4416
Ryan Grant,787,4390
Mike Alstott,865,4304
Ricky Watters,783,4304
James Stewart,816,4290
Shonn Greene,868,4258
Kevan Barlow,837,4235
Ryan Mathews,782,4223
Mike Anderson,787,4190
LaMont Jordan,742,4186
Alfred Morris,716,4186
Maurice Morris,724,4144
BenJarvus Green-Ellis,852,4074
Michael Bennett,691,4049
Lamar Smith,800,4033
Ron Dayne,814,3952
Pierre Thomas,693,3908
Tyrone Wheatley,766,3904
Robert Smith,622,3857
Reuben Droughns,767,3830
Kevin Faulk,729,3826
DeShaun Foster,770,3819
Knowshon Moreno,719,3768
Donovan McNabb,457,3683
Dominic Rhodes,641,3538
Justin Fargas,691,3533
C.J. Spiller,530,3511
Ladell Betts,669,3509
Kevin Jones,637,3508
LeGarrette Blount,572,3472
Michael Bush,693,3387
Domanick Williams,631,3365
Terrell Davis,579,3360
Jamal Anderson,620,3310
Sammy Morris,609,3226
Chris Brown,587,3215
Chris Ivory,533,3142
Correll Buckhalter,535,3118
Justin Forsett,457,3087
Dorsey Levens,600,3085
Felix Jones,520,3019
Stevan Ridley,537,2961
Derrick Ward,468,2957
Peyton Hillis,593,2940
T.J. Duckett,589,2924
Tatum Bell,476,2882
Steve McNair,379,2869
Donald Brown,499,2817
Daunte Culpepper,409,2770
Cam Newton,383,2727
Laurence Maroney,515,2707
James Allen,529,2668
Darren Sproles,413,2664
Mark Ingram,482,2559
Doug Martin,460,2545
Chris Wells,484,2545
Kevin Smith,469,2541
LenDale White,556,2540
Ben Tate,443,2534
Leon Washington,415,2520
Rashad Jennings,482,2459
Mewelde Moore,410,2444
Marcel Shipp,464,2444
Eddie Lacy,437,2417
Terry Allen,472,2358
Amos Zereoue,420,2344
Shawn Bryson,436,2329
Le'Veon Bell,442,2322
Kordell Stewart,311,2314
Troy Hambrick,409,2311
Napoleon Kaufman,332,2302
William Green,443,2290
Jerious Norwood,330,2287
Jeff Garcia,347,2269
Tim Hightower,416,2230
Lamar Miller,364,2183
Earnest Graham,410,2180
Tim Biakabutuka,359,2175
Trent Richardson,489,2151
Mike Tolbert,430,2113
Olandis Gary,406,2110
Steve Slaton,345,2037
Russell Wilson,241,2008
Joique Bell,376,2001
Aaron Rodgers,275,1927
Najeh Davenport,315,1919
Adrian Murrell,405,1907
James Starks,329,1885
Stacey Mack,359,1872
David Garrard,295,1859
Moe Williams,343,1835
Jerome Harrison,292,1818
Richard Huntley,284,1788
Danny Woodhead,353,1775
Tony Richardson,347,1761
Jake Plummer,260,1757
Ryan Fitzpatrick,274,1714
Kenny Watson,307,1706
Toby Gerhart,300,1698
Aaron Brooks,267,1682
Colin Kaepernick,196,1680
Barry Sanders,249,1679
Tashard Choice,315,1666
Aaron Stecker,300,1656
Mike Bell,351,1655
Curtis Enis,344,1604
Jason Snelling,323,1592
Nick Goings,324,1571
Karim Abdul-Jabbar,315,1554
Daniel Thomas,343,1552
Alex Smith,240,1547
Vince Young,208,1542
Jay Cutler,188,1525
Jamel White,302,1516
Rich Gannon,211,1515
Giovani Bernard,283,1498
Brandon Jackson,289,1459
Brandon Bennett,255,1444
Terrell Fletcher,279,1422
David Carr,227,1421
Bernard Pierce,266,1420
Andre Ellington,247,1420
Matt Hasselbeck,214,1411
Le'Ron McClain,323,1401
Mark Brunell,221,1395
Doug Flutie,190,1392
Zac Stacy,271,1364
Errict Rhett,278,1363
Bilal Powell,271,1343
Ben Roethlisberger,221,1328
Robert Edwards,239,1306
Kendall Hunter,209,1303
Fred Lane,258,1302
Jason Campbell,169,1300
Donnell Bennett,270,1289
Gary Brown,250,1275
Jonathan Wells,273,1274
Zack Crockett,321,1272
Travis Minor,251,1272
Robert Holcombe,254,1238
Natrone Means,250,1235
Jackie Battle,259,1223
Jacquizz Rodgers,251,1222
Onterrio Smith,196,1213
Isaac Redman,230,1207
Roy Helu,201,1187
Skip Hicks,208,1174
Jeremy Hill,193,1170
Lee Suggs,206,1166
James Jackson,252,1153
Bernard Scott,205,1151
Bryce Brown,165,1114
Ryan Torain,180,1103
Jon Kitna,178,1102
Leroy Hoard,192,1097
Trung Canidate,203,1092
Selvin Young,164,1089
Samkon Gado,219,1067
Jonathan Dwyer,193,1065
Tim Tebow,163,1063
Bobby Rainey,191,1046
Jesse Chatman,166,1045
Jonathan Linton,231,1044
Tom Brady,242,1032
Ronnie Hillman,188,1029
Jahvid Best,189,1027
Brad Smith,118,1023
Chris Fuamatu-Ma'afala,189,1022
Jeff Blake,155,1009
Josh Freeman,148,1006
Matt Cassel,165,1003
Rock Cartwright,186,999
Greg Jones,218,989
Robert Turbin,194,981
Trent Green,142,980
Brad Hoover,243,976
Peyton Manning,156,974
Tony Fisher,193,969
Vick Ballard,167,957
Artose Pinner,209,954
Chris Warren,162,954
Shane Vereen,171,953
Andrew Luck,130,951
Percy Harvin,114,946
Drew Brees,169,941
Andre Brown,164,939
Jay Fiedler,151,937
Anthony Dixon,203,927
Terry Kirby,175,919
Maurice Hicks,163,918
C.J. Anderson,158,917
Maurice Smith,187,913
Bam Morris,203,909
Ryan Moats,165,888
Josh McCown,135,886
Dexter McCluster,147,882
Richie Anderson,162,876
Brett Favre,132,874
Brian Leonard,179,868
Lance Ball,154,864
Derrick Blaylock,165,858
Greg Hill,137,856
J.J. Arrington,139,854
Rob Johnson,108,851
Mike Goodson,125,846
Lamar Gordon,165,846
Mikel Leshoure,180,843
Mack Strong,184,832
Marcel Reece,148,831
Robert Griffin III,87,827
Matt Ryan,149,826
Josh Cribbs,119,821
Tre Mason,134,817
Ryan Tannehill,89,816
Verron Haynes,165,810
J.J. Johnson,169,789
Matt Asiata,182,782
Knile Davis,157,773
Andre Williams,166,765
Jermaine Fazande,167,765
Joe Flacco,141,764
Montee Ball,138,752
Vernand Morency,148,747
LaRod Stephens-Howling,132,739
Tony Romo,108,723
J.R. Redmond,150,723
Chris Ogbonnaya,137,723
Robert Griffin,112,721
Daryl Richardson,137,718
Cedric Houston,152,717
Charlie Batch,109,709
Quentin Griffin,138,707
Terrance West,139,706
Leonard Weaver,132,699
Jason Wright,147,697
Mike Cloud,151,696
Tarvaris Jackson,102,696
Brian Mitchell,102,695
Andy Dalton,136,689
Christian Ponder,96,688
Denard Robinson,120,688
Brian Griese,131,682
Thurman Thomas,131,681
Chris Perry,130,678
Leon Johnson,129,675
Brandon Bolden,109,674
Jake Locker,77,672
Isaiah Crowell,111,666
Terrelle Pryor,75,666
Edgar Bennett,155,663
Philip Rivers,139,661
Kahlil Bell,119,653
Geno Smith,99,640
Kerry Collins,113,640
Rodney Thomas,124,634
Kyle Boller,127,632
Fred Beasley,154,632
Khiry Robinson,103,629
Bob Christian,110,627
Eli Manning,100,627
Drew Bledsoe,136,624
Aveion Cason,97,620
Branden Oliver,124,617
LaBrandon Toefield,129,616
Quincy Carter,103,609
John Kuhn,156,605
Heath Evans,130,603
