Seahawks,6238,4506,1732
Broncos,6544,5104,1440
Colts,6651,5705,946
Steelers,6751,5837,914
Packers,6356,5672,684
Lions,5706,5082,624
Cowboys,6314,5808,506
Saints,6699,6310,389
49ers,5574,5315,259
Ravens,5994,5749,245
Patriots,5992,5780,212
Dolphins,5890,5680,210
Eagles,6528,6320,208
Redskins,6123,5933,190
Panthers,5790,5690,100
Jets,5181,5115,66
Chargers,5620,5562,58
Bills,4982,5031,-49
Texans,5607,5737,-130
Bengals,5677,5838,-161
Chiefs,5302,5536,-234
Giants,6058,6315,-257
Falcons,6211,6472,-261
Vikings,5367,5683,-316
Rams,5326,5888,-562
Browns,5374,5998,-624
Bears,5443,6239,-796
Cardinals,5292,6131,-839
Titans,5117,6170,-1053
Jaguars,5062,6189,-1127
Buccaneers,4961,6128,-1167
Raiders,4647,5854,-1207
